Blacks-wins,397,240
Whites-wins,207,403
Blacks-wins,301,125
Whites-wins,291,317
Blacks-wins,362,272
Whites-wins,135,354
Whites-wins,163,164
Blacks-wins,271,248
Blacks-wins,385,179
Blacks-wins,444,187
Blacks-wins,215,168
Blacks-wins,385,133
Blacks-wins,259,89
Blacks-wins,237,180
Whites-wins,214,272
Whites-wins,493,642
Blacks-wins,344,178
Blacks-wins,369,251
Blacks-wins,263,214
Blacks-wins,168,88
Blacks-wins,317,216
Whites-wins,154,256
Whites-wins,145,332
Whites-wins,212,320
Blacks-wins,352,259
Whites-wins,263,312
Blacks-wins,336,255
Whites-wins,82,489
Whites-wins,116,371
Whites-wins,279,625
Tie-wins,199,199
Blacks-wins,250,168
Blacks-wins,486,188
Whites-wins,185,444
Blacks-wins,370,189
Blacks-wins,318,231
Whites-wins,193,307
Blacks-wins,229,192
Blacks-wins,299,236
Blacks-wins,237,180
Whites-wins,186,256
Blacks-wins,515,347
Whites-wins,168,211
Whites-wins,415,466
Whites-wins,121,270
Blacks-wins,352,157
Blacks-wins,214,212
Whites-wins,112,357
Blacks-wins,280,238
Blacks-wins,257,239
Blacks-wins,226,176
Whites-wins,108,309
Whites-wins,176,414
Blacks-wins,408,394
Whites-wins,405,494
Blacks-wins,328,306
Whites-wins,227,238
Whites-wins,376,452
Blacks-wins,349,169
Whites-wins,279,423
Whites-wins,216,315
Blacks-wins,498,134
Blacks-wins,395,377
Whites-wins,328,438
Whites-wins,223,346
Whites-wins,213,407
Blacks-wins,236,143
Blacks-wins,221,77
Blacks-wins,384,285
Blacks-wins,478,377
Blacks-wins,396,50
Blacks-wins,331,226
Blacks-wins,269,104
Whites-wins,319,342
Blacks-wins,541,165
Whites-wins,223,372
Whites-wins,58,319
Whites-wins,147,342
Blacks-wins,460,248
Blacks-wins,275,159
Whites-wins,167,271
Whites-wins,330,339
Blacks-wins,395,218
Blacks-wins,253,236
Blacks-wins,267,184
Whites-wins,185,232
Blacks-wins,369,110
Whites-wins,96,403
Blacks-wins,354,35
Blacks-wins,286,152
Blacks-wins,284,114
Whites-wins,380,722
Whites-wins,408,435
Blacks-wins,269,240
Blacks-wins,364,223
Whites-wins,183,399
Blacks-wins,228,143
Blacks-wins,489,185
Blacks-wins,496,191
Blacks-wins,372,344
Whites-wins,310,505
Whites-wins,269,296
Blacks-wins,251,115
Blacks-wins,353,297
Whites-wins,269,451
Blacks-wins,350,304
Blacks-wins,262,216
Whites-wins,352,444
Blacks-wins,239,113
Blacks-wins,325,226
Whites-wins,236,315
Blacks-wins,262,122
Whites-wins,249,271
Whites-wins,230,291
Blacks-wins,289,277
Whites-wins,86,187
Whites-wins,236,341
Blacks-wins,600,162
Blacks-wins,248,197
Whites-wins,234,369
Blacks-wins,319,209
Blacks-wins,340,160
Blacks-wins,446,303
Blacks-wins,303,273
Whites-wins,115,296
Blacks-wins,273,135
Blacks-wins,412,92
Blacks-wins,316,151
Whites-wins,176,193
Blacks-wins,348,304
Whites-wins,214,261
Blacks-wins,315,311
Whites-wins,182,254
Blacks-wins,503,345
Blacks-wins,389,171
Whites-wins,237,510
Whites-wins,180,358
Blacks-wins,420,348
Blacks-wins,367,227
Blacks-wins,365,193
Whites-wins,143,376
Blacks-wins,316,204
Blacks-wins,313,154
Whites-wins,163,242
Blacks-wins,380,128
Blacks-wins,271,144
Blacks-wins,302,251
Blacks-wins,563,245
Blacks-wins,445,305
Whites-wins,129,278
Whites-wins,164,661
Whites-wins,241,450
Blacks-wins,387,188
Whites-wins,206,413
Blacks-wins,196,63
Whites-wins,117,238
Whites-wins,226,369
Whites-wins,216,220
Blacks-wins,278,238
Blacks-wins,489,268
Blacks-wins,375,342
Blacks-wins,741,377
Whites-wins,147,241
Whites-wins,230,268
Blacks-wins,241,183
Whites-wins,238,259
Whites-wins,166,219
Blacks-wins,473,216
Blacks-wins,248,214
Blacks-wins,159,151
Blacks-wins,301,220
Blacks-wins,293,228
Blacks-wins,326,204
Blacks-wins,368,203
Whites-wins,177,290
Whites-wins,175,239
Whites-wins,49,224
Blacks-wins,208,191
Blacks-wins,181,89
Whites-wins,80,328
Whites-wins,424,463
Whites-wins,88,280
Whites-wins,215,281
Blacks-wins,270,137
Whites-wins,326,464
Blacks-wins,257,180
Whites-wins,144,179
Whites-wins,278,285
Blacks-wins,187,64
Whites-wins,255,261
Blacks-wins,343,282
Blacks-wins,212,182
Whites-wins,136,221
Blacks-wins,536,309
Blacks-wins,283,202
Whites-wins,149,199
Blacks-wins,275,219
Whites-wins,255,307
Blacks-wins,466,276
Whites-wins,168,196
Blacks-wins,170,139
Whites-wins,178,368
Blacks-wins,384,280
Whites-wins,209,357
Blacks-wins,244,165
Blacks-wins,247,212
Blacks-wins,674,518
Whites-wins,130,288
Whites-wins,147,258
Blacks-wins,241,101
Whites-wins,197,228
Whites-wins,191,270
Whites-wins,151,168
Whites-wins,145,153
Blacks-wins,400,103
Whites-wins,211,246
Blacks-wins,243,215
Whites-wins,170,243
Whites-wins,307,325
Blacks-wins,306,236
Whites-wins,70,197
Whites-wins,225,251
Whites-wins,137,288
Blacks-wins,324,209
Whites-wins,223,362
Blacks-wins,203,198
Blacks-wins,269,214
Whites-wins,251,320
Blacks-wins,325,201
Blacks-wins,261,238
Blacks-wins,359,203
Whites-wins,152,439
Whites-wins,177,346
Whites-wins,164,319
Blacks-wins,391,351
Whites-wins,160,249
Blacks-wins,491,218
Blacks-wins,538,334
Whites-wins,181,191
Blacks-wins,335,268
Blacks-wins,395,299
Blacks-wins,299,191
Whites-wins,298,370
Whites-wins,123,240
Whites-wins,107,188
Blacks-wins,336,168
Whites-wins,90,235
Blacks-wins,160,137
Blacks-wins,171,130
Blacks-wins,388,184
Blacks-wins,319,282
Blacks-wins,402,96
Blacks-wins,556,97
Whites-wins,136,321
Blacks-wins,213,147
Whites-wins,299,524
Blacks-wins,337,153
Blacks-wins,243,96
Whites-wins,229,237
Blacks-wins,373,130
Whites-wins,359,589
Blacks-wins,209,198
Whites-wins,290,342
Whites-wins,269,289
Blacks-wins,619,398
Whites-wins,162,264
Blacks-wins,335,169
Whites-wins,164,415
Whites-wins,149,203
Whites-wins,133,197
Blacks-wins,269,216
Whites-wins,142,523
Blacks-wins,410,394
Blacks-wins,204,163
Blacks-wins,235,162
Blacks-wins,491,245
Blacks-wins,382,340
Whites-wins,384,419
Blacks-wins,312,53
Blacks-wins,267,195
Whites-wins,202,365
Blacks-wins,279,83
Whites-wins,153,266
Blacks-wins,333,207
Blacks-wins,398,339
Blacks-wins,257,229
Blacks-wins,250,171
Whites-wins,317,333
Whites-wins,120,201
Whites-wins,279,448
Whites-wins,254,288
Whites-wins,221,335
Whites-wins,198,328
Whites-wins,194,450
Whites-wins,215,260
Blacks-wins,225,201
Whites-wins,289,520
Whites-wins,300,468
Whites-wins,201,485
Whites-wins,280,288
Blacks-wins,442,197
Blacks-wins,314,257
Whites-wins,257,415
Whites-wins,195,287
Blacks-wins,293,285
Blacks-wins,581,242
Blacks-wins,377,102
Blacks-wins,334,204
Whites-wins,107,571
Whites-wins,133,270
Whites-wins,73,247
Blacks-wins,459,313
Blacks-wins,189,181
Blacks-wins,355,235
Blacks-wins,273,270
Whites-wins,153,565
Whites-wins,170,503
Whites-wins,354,448
Whites-wins,150,242
Blacks-wins,582,425
Blacks-wins,332,172
